level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	62	0	0	0	1406	3252	64	47	-1	
3	1	62	1	0	0	1406	3232	276	117	-1	
4	1	62	1	1	0	1406	3252	64	47	-1	
5	1	62	1	1	1	1406	3252	64	47	81.283501	410
2	1	63	0	0	0	230	3364	70	40	-1	
3	1	63	1	0	0	230	3364	70	40	-1	
4	1	63	1	1	0	230	3364	70	40	-1	
5	1	63	1	1	1	230	3364	70	40	89.699898	118
2	1	64	0	0	0	533	3282	95	41	-1	
3	1	64	1	0	0	407	3282	221	105	-1	
4	1	64	1	1	0	533	3282	95	41	-1	
5	1	64	1	1	1	533	3282	95	41	0.000000	3
2	1	65	0	0	0	1823	3343	67	47	-1	
3	1	65	1	0	0	1823	3343	67	47	-1	
4	1	65	1	1	0	1823	3343	67	47	-1	
5	1	65	1	1	1	1823	3343	67	47	93.251854	117
2	1	66	0	0	0	1694	3403	63	33	-1	
3	1	66	1	0	0	1694	3403	63	33	-1	
4	1	66	1	1	0	1694	3403	63	33	-1	
5	1	66	1	1	1	1694	3403	63	33	96.602310	119
2	1	67	0	0	0	2212	3448	72	76	-1	
3	1	67	1	0	0	2212	3448	72	76	-1	
4	1	67	1	1	0	2212	3448	72	76	-1	
5	1	67	1	1	1	2212	3448	72	76	93.536522	421
2	1	68	0	0	0	540	3564	67	34	-1	
3	1	68	1	0	0	540	3564	67	34	-1	
4	1	68	1	1	0	540	3564	67	34	-1	
5	1	68	1	1	1	540	3564	67	34	96.859138	123
2	1	69	0	0	0	1864	3624	65	33	-1	
3	1	69	1	0	0	1864	3624	65	33	-1	
4	1	69	1	1	0	1864	3624	65	33	-1	
5	1	69	1	1	1	1864	3624	65	33	96.774246	125
2	1	70	0	0	0	2046	3671	106	80	-1	
3	1	70	1	0	0	2046	3671	108	80	-1	
4	1	70	1	1	0	2046	3671	106	80	-1	
5	1	70	1	1	1	2046	3671	106	80	29.116611	4126
2	1	71	0	0	0	1965	3908	94	69	-1	
3	1	71	1	0	0	1965	3908	94	69	-1	
4	1	71	1	1	0	1965	3908	94	69	-1	
5	1	71	1	1	1	1965	3908	94	69	49.258179	128
2	1	72	0	0	0	2071	4050	108	59	-1	
3	1	72	1	0	0	2071	4050	108	59	-1	
4	1	72	1	1	0	2071	4050	108	59	-1	
5	1	72	1	1	1	2071	4050	108	59	0.000000	129
2	1	73	0	0	0	1855	4114	62	56	-1	
3	1	73	1	0	0	1855	4114	62	56	-1	
4	1	73	1	1	0	1855	4114	62	56	-1	
5	1	73	1	1	1	1855	4114	62	56	78.871727	134
2	1	74	0	0	0	2088	4106	122	46	-1	
3	1	74	1	0	0	2088	4106	122	46	-1	
4	1	74	1	1	0	2088	4106	122	46	-1	
5	1	74	1	1	1	2088	4106	122	46	22.935076	5130
2	1	75	0	0	0	2101	4239	66	34	-1	
3	1	75	1	0	0	2101	4239	66	34	-1	
4	1	75	1	1	0	2101	4239	66	34	-1	
5	1	75	1	1	1	2101	4239	66	34	96.560661	132
